experiment_name,__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
edit_distance_code_function_experiment,run_0_repetition_0,DONE,1,200,0.006,8.653,2933.193,23.555
edit_distance_code_function_experiment,run_1_repetition_0,DONE,2,200,0.005,7.9,2931.42,20.807
edit_distance_code_function_experiment,run_2_repetition_0,DONE,3,200,0.006,6.75,2936.17,18.97
edit_distance_code_function_experiment,run_3_repetition_0,DONE,4,200,0.007,6.751,2931.692,19.723
edit_distance_code_function_experiment,run_4_repetition_0,DONE,5,200,0.008,7.15,2921.771,19.472
edit_distance_code_function_experiment,run_5_repetition_0,DONE,6,200,0.005,6.797,2933.724,19.443
edit_distance_code_function_experiment,run_6_repetition_0,DONE,7,200,0.008,7.197,2927.079,20.524
edit_distance_code_function_experiment,run_7_repetition_0,DONE,8,200,0.005,6.932,2932.956,19.897
edit_distance_code_function_experiment,run_8_repetition_0,DONE,9,200,0.009,6.328,2930.484,20.198
edit_distance_code_function_experiment,run_9_repetition_0,DONE,10,200,0.008,6.68,2936.696,20.101
levenshtein_distance_origin_experiment,run_0_repetition_0,DONE,1,200,6880.274,7.192,2956.124,167.778
levenshtein_distance_origin_experiment,run_1_repetition_0,DONE,2,200,6909.271,7.089,2930.311,154.774
levenshtein_distance_origin_experiment,run_2_repetition_0,DONE,3,200,6848.972,6.826,2934.192,150.96
levenshtein_distance_origin_experiment,run_3_repetition_0,DONE,4,200,6785.327,6.899,2928.427,161.152
levenshtein_distance_origin_experiment,run_4_repetition_0,DONE,5,200,6911.815,7.093,2927.108,164.085
levenshtein_distance_origin_experiment,run_5_repetition_0,DONE,6,200,6838.064,7.119,2930.416,161.074
levenshtein_distance_origin_experiment,run_6_repetition_0,DONE,7,200,6796.273,6.971,2932.006,162.685
levenshtein_distance_origin_experiment,run_7_repetition_0,DONE,8,200,6872.347,6.969,2925.784,161.172
levenshtein_distance_origin_experiment,run_8_repetition_0,DONE,9,200,6842.099,7.025,2923.727,161.686
