experiment_name,repetition,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j,base_algo,optimize_method
knapsack_other_experiment,9,18.496,23.926,2925.211,3.748,knapsack,other
knapsack_other_experiment,10,12.992,20.478,2916.206,3.422,knapsack,other
longest_common_subsequence_mixed_experiment,1,479.978,13.93,2991.418,19.299,longest_common_subsequence,mixed
longest_common_subsequence_mixed_experiment,2,471.793,14.096,3023.055,16.411,longest_common_subsequence,mixed
longest_common_subsequence_mixed_experiment,3,472.785,13.973,2999.149,16.688,longest_common_subsequence,mixed
longest_common_subsequence_mixed_experiment,4,476.014,12.977,2978.263,16.367,longest_common_subsequence,mixed
longest_common_subsequence_mixed_experiment,5,477.317,12.599,2978.644,16.14,longest_common_subsequence,mixed
longest_common_subsequence_mixed_experiment,6,464.151,12.863,3022.982,16.518,longest_common_subsequence,mixed
longest_common_subsequence_mixed_experiment,7,475.628,13.668,3005.9,16.261,longest_common_subsequence,mixed
longest_common_subsequence_mixed_experiment,8,464.661,13.69,3012.194,16.151,longest_common_subsequence,mixed
longest_common_subsequence_mixed_experiment,9,477.803,13.687,2998.824,16.502,longest_common_subsequence,mixed
longest_common_subsequence_mixed_experiment,10,476.341,14.195,3002.515,16.642,longest_common_subsequence,mixed
knapsack_native_experiment,1,13.069,18.843,3117.698,7.9,knapsack,native
knapsack_native_experiment,2,12.978,20.461,3049.955,8.183,knapsack,native
knapsack_native_experiment,3,12.978,34.331,3023.655,8.273,knapsack,native
knapsack_native_experiment,4,12.965,21.027,3005.477,8.164,knapsack,native
knapsack_native_experiment,5,13.068,21.116,2986.211,8.3,knapsack,native
knapsack_native_experiment,6,12.994,18.879,2997.009,8.158,knapsack,native
knapsack_native_experiment,7,13.049,33.986,2984.524,8.531,knapsack,native
knapsack_native_experiment,8,12.963,19.787,3000.191,8.321,knapsack,native
knapsack_native_experiment,9,13.019,20.708,2983.698,8.323,knapsack,native
knapsack_native_experiment,10,13.511,34.592,2975.674,8.367,knapsack,native
dijkstra_other_experiment,1,1391.771,70.487,2868.262,36.837,dijkstra,other
dijkstra_other_experiment,2,1361.232,70.651,2860.129,36.115,dijkstra,other
dijkstra_other_experiment,3,1364.59,78.787,2853.082,36.316,dijkstra,other
dijkstra_other_experiment,4,1362.594,70.262,2854.676,36.41,dijkstra,other
dijkstra_other_experiment,5,1358.394,78.475,2850.715,36.743,dijkstra,other
dijkstra_other_experiment,6,1361.243,69.912,2852.932,36.193,dijkstra,other
dijkstra_other_experiment,7,1376.65,78.213,2863.862,36.371,dijkstra,other
dijkstra_other_experiment,8,1360.943,70.345,2864.67,36.341,dijkstra,other
dijkstra_other_experiment,9,1351.867,78.786,2863.813,35.934,dijkstra,other
dijkstra_other_experiment,10,1369.481,77.965,2863.594,36.277,dijkstra,other
floyd_origin_experiment,1,3706.32,7.99,2874.963,46.706,floyd,origin
floyd_origin_experiment,2,3690.187,7.093,2859.851,44.563,floyd,origin
floyd_origin_experiment,3,3718.81,6.876,2857.204,44.307,floyd,origin
floyd_origin_experiment,4,3683.001,6.861,2857.868,42.465,floyd,origin
floyd_origin_experiment,5,3830.991,7.124,2853.571,43.45,floyd,origin
floyd_origin_experiment,6,3701.043,6.958,2845.906,44.803,floyd,origin
floyd_origin_experiment,7,3743.32,7.179,2850.822,48.55,floyd,origin
floyd_origin_experiment,8,3691.254,6.727,2869.255,44.684,floyd,origin
floyd_origin_experiment,9,3695.724,6.477,2879.139,44.265,floyd,origin
floyd_origin_experiment,10,3688.994,6.906,2871.091,44.378,floyd,origin
fibonacci_other_experiment,1,2801.728,11.056,2931.86,35.018,fibonacci,other
fibonacci_other_experiment,2,2764.503,10.267,2924.407,31.852,fibonacci,other
fibonacci_other_experiment,3,2766.958,10.523,2927.265,32.502,fibonacci,other
fibonacci_other_experiment,4,2744.141,14.334,2937.645,33.589,fibonacci,other
fibonacci_other_experiment,5,2767.97,10.635,2930.841,32.424,fibonacci,other
fibonacci_other_experiment,6,2766.563,11.011,2922.546,33.6,fibonacci,other
fibonacci_other_experiment,7,2779.476,11.022,2928.727,33.177,fibonacci,other
fibonacci_other_experiment,8,2733.206,14.974,2921.962,32.93,fibonacci,other
fibonacci_other_experiment,9,2738.708,15.272,2932.653,33.267,fibonacci,other
fibonacci_other_experiment,10,2739.063,10.167,2929.438,31.511,fibonacci,other
edit_distance_origin_experiment,1,3492.859,7.313,3295.379,80.75,edit_distance,origin
edit_distance_origin_experiment,2,3484.818,6.95,3247.888,81.183,edit_distance,origin
edit_distance_origin_experiment,3,3479.865,6.97,3338.291,81.916,edit_distance,origin
edit_distance_origin_experiment,4,3515.046,7.029,3291.342,86.702,edit_distance,origin
edit_distance_origin_experiment,5,3499.39,7.037,3216.142,84.846,edit_distance,origin
edit_distance_origin_experiment,6,3477.081,7.138,3243.792,83.106,edit_distance,origin
edit_distance_origin_experiment,7,3471.786,6.755,3240.379,81.624,edit_distance,origin
edit_distance_origin_experiment,8,3477.306,7.106,3334.607,80.673,edit_distance,origin
